timestamp,bid
1514881418.223,1.25346
1514881420.473,1.25344
1514881420.723,1.25341
1514881420.973,1.25342
1514881421.223,1.25341
1514881421.723,1.2534
1514881421.973,1.25341
1514881423.237,1.25343
1514881423.487,1.25349
1514881427.237,1.25354
1514881427.487,1.25352
1514881427.723,1.25349
1514881428.223,1.25347
1514881428.473,1.25349
1514881428.723,1.2535
1514881428.973,1.25349
1514881429.223,1.25347
1514881429.487,1.25346
1514881429.723,1.25344
1514881430.223,1.25346
1514881431.473,1.25347
1514881432.223,1.25346
1514881432.723,1.25345
1514881432.973,1.25347
1514881433.473,1.25346
1514881434.223,1.25345
1514881434.723,1.25344
1514881436.473,1.25344
1514881436.723,1.25345
1514881436.973,1.25346
1514881437.223,1.25348
1514881437.973,1.25347
1514881438.473,1.25347
1514881438.723,1.25348
1514881439.973,1.25346
1514881440.473,1.25345
1514881440.723,1.25346
1514881455.973,1.25346
1514881458.723,1.25346
1514881460.973,1.25344
1514881461.223,1.25342
1514881461.473,1.25341
1514881461.723,1.25341
1514881461.973,1.25346
1514881462.223,1.25346
1514881462.723,1.25345
1514881463.473,1.25345
1514881463.723,1.25346
1514881464.223,1.25347
1514881464.973,1.25346
1514881465.223,1.25346
1514881466.973,1.25346
1514881467.223,1.25347
1514881473.723,1.25347
1514881478.723,1.25347
1514881478.973,1.25346
1514881479.723,1.25344
1514881479.973,1.25345
1514881480.223,1.25343
1514881480.473,1.2534
1514881480.723,1.2534
1514881481.473,1.25339
1514881481.723,1.2534
1514881482.973,1.25339
1514881484.223,1.25345
1514881484.473,1.25345
1514881485.223,1.25346
1514881489.473,1.25346
1514881489.723,1.25348
1514881490.973,1.2535
1514881491.223,1.2536
1514881491.473,1.25361
1514881491.723,1.25361
1514881494.737,1.2536
1514881494.973,1.25355
1514881495.223,1.25353
