"HOUSEID","VEHID","VEHYEAR","MAKE","HHVEHCNT","VEHTYPE","VEHFUEL","VEHCOMMERCIAL","VEHCOM_RS","VEHCOM_DEL","VEHCOM_OTH","COMMERCIALFREQ","HHVEHUSETIME_RS","HHVEHUSETIME_DEL","HHVEHUSETIME_OTH","VEHOWNED","WHOMAIN","VEHCASEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","ANNMILES","HYBRID","VEHAGE","VEHOWNMO","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID"
"9000013366","03",2020,"48",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","03","900001336603",7433.5316036,12034.298823,0,3500,"02",2,"-1",3,"02","01","02","01","02",3,"21","10","01",3,"10","01","05","06","01","04","01","202202",2,"1023"
"9000013373","01",1996,"20",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001337301",5471.3578173,6530.1722714,0,20,"02",26,"-1",1,"01","02","02","01","02",1,"23","05","01",1,"09","03","03","06","01","03","01","202202",1,"1023"
"9000013373","02",2009,"48",2,"01","01","01","02","02","01","20","-1","-1","10","02","01","900001337302",5471.3578173,6530.1722714,0,3000,"02",13,"04",1,"01","02","02","01","02",1,"23","05","01",1,"09","03","03","06","01","03","01","202202",1,"1023"
"9000013380","01",2020,"23",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001338001",11880.072075,17481.18508,0,15000,"02",2,"-1",3,"01","02","02","01","02",2,"22","11","01",3,"10","02","04","04","01","05","01","202202",2,"1023"
"9000013380","02",2019,"02",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001338002",11880.072075,17481.18508,0,12000,"02",3,"-1",3,"01","02","02","01","02",2,"22","11","01",3,"10","02","04","04","01","05","01","202202",2,"1023"
"9000013382","01",2018,"37",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001338201",7452.244473,9958.2633123,0,7000,"02",4,"-1",1,"03","01","02","01","02",1,"21","07","03",1,"01","01","05","03","01","04","01","202202",1,"1023"
"9000013398","01",2019,"55",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001339801",14272.482745,18767.383109,0,300,"02",3,"-1",2,"03","02","02","01","02",2,"22","06","01",2,"02","02","04","05","01","05","01","202202",1,"1023"
"9000013398","02",2004,"02",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001339802",14272.482745,18767.383109,0,12000,"02",18,"-1",2,"03","02","02","01","02",2,"22","06","01",2,"02","02","04","05","01","05","01","202202",1,"1023"
"9000013411","01",2017,"49",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001341101",8149.7707926,10470.240881,0,10000,"02",5,"-1",1,"03","01","02","01","02",1,"21","07","03",1,"01","01","05","05","01","04","01","202202",1,"1023"
"9000013438","01",2015,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001343801",6158.1592508,8666.1736665,0,20000,"02",7,"-1",2,"04","02","02","01","02",2,"22","06","01",3,"04","02","04","03","02","06","01","202202",2,"1023"
"9000013438","02",2018,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001343802",6158.1592508,8666.1736665,0,8000,"02",4,"-1",2,"04","02","02","01","02",2,"22","06","01",3,"04","02","04","03","02","06","01","202202",2,"1023"
"9000013509","01",2000,"37",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001350901",17775.811918,23475.413557,0,9000,"02",22,"-1",2,"01","02","02","01","02",3,"23","03","01",3,"08","03","03","03","04","06","02","202202",1,"1024"
"9000013509","02",2010,"63",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","02","03","900001350902",17775.811918,23475.413557,0,4000,"02",12,"09",2,"01","02","02","01","02",3,"23","03","01",3,"08","03","03","03","04","06","02","202202",1,"1024"
"9000013512","01",2007,"35",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001351201",6288.2303148,0,21016.994859,2500,"02",15,"-1",1,"01","02","02","01","02",1,"22","06","01",1,"01","02","04","01","01","03","01","202202",1,"1023"
"9000013514","01",2017,"48",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001351401",4876.6051104,0,21391.582687,1000,"02",5,"-1",1,"01","01","02","01","02",1,"21","04","01",1,"09","01","05","01","04","06","02","202202",0,"1024"
"9000013519","01",2019,"13",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001351901",9126.3250966,13439.36552,0,6000,"02",3,"-1",2,"02","01","02","01","02",2,"21","07","01",2,"10","01","05","03","01","04","01","202202",1,"1023"
