,point_1,ci68l_1,ci68u_1,ci90l_1,ci90u_1,point_2,ci68l_2,ci68u_2,ci90l_2,ci90u_2,point_3,ci68l_3,ci68u_3,ci90l_3,ci90u_3,point_4,ci68l_4,ci68u_4,ci90l_4,ci90u_4
30,-0.86151,-1.31242,-0.823056,-1.46074,-0.638628,0.516703,-0.0464597,1.02305,-0.422925,1.39315,-1.68058,-2.94073,-1.11746,-3.51724,-0.446147,-0.76898,-2.96548,0.712838,-4.24129,1.97749
31,-0.827839,-1.28006,-0.790824,-1.4296,-0.606734,0.53747,-0.0248109,1.03677,-0.402048,1.39374,-1.64003,-2.90513,-1.09462,-3.48745,-0.437668,-0.729727,-2.91186,0.703354,-4.15464,1.96263
32,-0.829599,-1.28197,-0.790438,-1.43208,-0.616105,0.572288,0.0349186,1.07358,-0.348443,1.41582,-1.63859,-2.90772,-1.11189,-3.46665,-0.447731,-0.548823,-2.73822,0.83501,-3.96986,2.13523
33,-0.824382,-1.27779,-0.789921,-1.42815,-0.610861,0.566355,0.0401585,1.05893,-0.321413,1.39033,-1.63383,-2.90758,-1.12702,-3.46076,-0.477886,-0.340002,-2.52706,1.03052,-3.73945,2.29741
34,-0.786236,-1.23919,-0.750718,-1.38793,-0.573728,0.533696,0.00269482,1.00346,-0.340537,1.33898,-1.60319,-2.88355,-1.11377,-3.41733,-0.46608,-0.219863,-2.35659,1.15661,-3.57141,2.39495
35,-0.798193,-1.2535,-0.767555,-1.40206,-0.591869,0.443592,-0.0747021,0.910343,-0.427226,1.23771,-1.58201,-2.85325,-1.11729,-3.40433,-0.474457,0.0347981,-2.07386,1.41282,-3.27464,2.6671
36,-0.813141,-1.27094,-0.783685,-1.41668,-0.610726,0.420172,-0.0811584,0.880295,-0.428741,1.20198,-1.54577,-2.8098,-1.09112,-3.35059,-0.467118,0.373064,-1.70888,1.74616,-2.93953,2.98027
37,-0.809713,-1.2677,-0.779888,-1.41559,-0.613347,0.313446,-0.186346,0.771652,-0.525898,1.07651,-1.54149,-2.81271,-1.10012,-3.34594,-0.485246,0.746662,-1.30229,2.14751,-2.53535,3.36643
38,-0.822774,-1.28404,-0.796032,-1.43114,-0.629584,0.276469,-0.212147,0.729203,-0.550817,1.03253,-1.52946,-2.79006,-1.10288,-3.31989,-0.482403,0.884715,-1.18281,2.25742,-2.4071,3.48501
39,-0.789561,-1.252,-0.763264,-1.40138,-0.597457,0.28395,-0.194173,0.733445,-0.529055,1.03101,-1.50472,-2.7711,-1.08587,-3.28933,-0.469601,1.01271,-1.0237,2.41106,-2.29405,3.60072
40,-0.773091,-1.2329,-0.744987,-1.38592,-0.580659,0.289269,-0.18804,0.734651,-0.524927,1.01892,-1.52789,-2.79013,-1.12322,-3.3129,-0.493783,0.987332,-1.04439,2.3899,-2.3044,3.58763
41,-0.753957,-1.2158,-0.727073,-1.37228,-0.561245,0.389819,-0.0740486,0.83193,-0.40173,1.13038,-1.55893,-2.82652,-1.15205,-3.36194,-0.522742,1.09777,-0.919471,2.50649,-2.19478,3.73324
42,-0.727002,-1.19096,-0.69776,-1.34477,-0.532565,0.471846,0.0278675,0.925103,-0.295828,1.21214,-1.51007,-2.77627,-1.09472,-3.3203,-0.463052,1.35522,-0.66131,2.74703,-1.94795,3.97505
43,-0.710839,-1.17106,-0.681858,-1.33119,-0.517244,0.43533,-0.00173186,0.891536,-0.319106,1.17231,-1.53971,-2.80013,-1.12918,-3.35485,-0.490511,1.48132,-0.506603,2.89138,-1.78848,4.11757
44,-0.668735,-1.13008,-0.637627,-1.2842,-0.470328,0.525622,0.0917839,0.97428,-0.217603,1.26705,-1.48823,-2.75081,-1.0712,-3.31074,-0.427281,1.46819,-0.509467,2.88958,-1.77046,4.08162
